Requirement,Appropriate,Complete,Conforming,Correct,Feasible,Necessary,Singular,Unambiguous,Verifiable
"Ürün, ilk lansmandan sonraki 2 yıl içinde 10.000 eşzamanlı kullanıcıyı destekleyebilmelidir.",1,1,1,1,1,1,1,1,1
"Tahminciler için ürün, kirli ve gürültülü koşullarda bir tamir tesisinde çalıştırılabilir olmalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, ChoiceParts sistemiyle günde bir kez yaklaşık saat 01:00’de arayüz oluşturmalıdır.",1,1,1,1,1,1,1,1,1
"Ürünün bakımı, belirlenmiş kurumsal bakım aralıklarında yapılacaktır.",1,1,1,1,1,1,1,0,0
"Ürün, kurumsal destek merkezi aracılığıyla desteklenecektir.",1,1,1,1,1,1,1,1,0
"Ürün kurulumları ve yükseltmeleri, belirlenmiş yayın zaman dilimleri içerisinde ara katman teknolojisi ekibi tarafından gerçekleştirilecektir.",1,1,1,1,1,1,1,0,0
"Yalnızca ayarlayıcılar (adjusters) geri dönüştürülmüş parçalar denetim raporu talep edebilir. Ayarlayıcı rolüne sahip olmayan kullanıcılar geri dönüştürülmüş parça denetimlerini talep edemez.",1,1,1,1,1,1,1,1,1
"Yalnızca süpervizör rolüne sahip ayarlayıcılar tercih edilen tamir tesisi puanlarını güncelleyebilir. Süpervizör rolüne sahip olmayan kullanıcılar bu puanlamalara erişemez.",1,1,1,1,1,1,1,1,1
"Yalnızca çarpışma tahmincileri (collision estimators) geri dönüştürülmüş parçaları arayabilir. Çarpışma tahmincisi rolüne sahip olmayan kullanıcılar bu aramaya erişemez.",1,1,1,1,1,1,1,1,1
"Sisteme yalnızca geçerli veriler girilmelidir. Geçersiz veriler sisteme girilemez.",1,1,1,1,1,1,1,0,0
"Bir sigorta şirketi, başka bir sigorta şirketinin hasar verilerini görüntüleyemez.",1,1,1,1,1,1,1,1,1
"Ürün bilgisayar virüslerinden arınmış olmalıdır.",1,1,1,1,0,1,1,0,0
"Sistem, hizmet reddi (DoS) dahil kötü niyetli saldırıları önlemelidir.",1,1,1,1,0,1,1,0,0
"Ürün Sarbanes-Oxley düzenlemelerine uymalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, geri dönüştürülmüş parça kullanımıyla ilgili tahmin yasalarına uymalıdır.",1,1,1,1,1,1,1,0,0
"Ürün, hasar işlemleriyle ilgili sigorta düzenlemelerine uymalıdır.",1,1,1,1,1,1,1,0,0
"Kullanıcı, tercih edilen tamir tesisini araç, araç konumu ve mil cinsinden yarıçap kullanarak aramalıdır.",1,1,1,1,1,1,1,1,1
"Araç verileri, araç yılı, markası ve modelini içermelidir.",1,1,1,1,1,1,1,1,1
"Araç konumu; sokak adresi, şehir, eyalet ve posta kodunu içermelidir.",1,1,1,1,1,1,1,1,1
"Sistem, posta kodu bilinmiyorsa sokak adresi, şehir ve eyalete göre posta kodunu belirlemelidir.",1,1,1,1,1,1,1,1,1
"Arama yarıçapı 1 ila 30 mil arasında olmalıdır.",1,1,1,1,1,1,1,1,1
"Sistem, girilen kriterlere göre en yüksek puanlı tercih edilen tamir tesisini bulmalıdır.",1,1,1,1,1,1,1,1,1
"Ayarlayıcı (adjuster), tahmin atamasına tercih edilen tamir tesisini girmelidir.",1,1,1,1,1,1,1,1,1
"Ayarlayıcı, tahmin atamasında tercih edilen tamir tesisini geçersiz kılabilmelidir.",1,1,1,1,1,1,1,1,1
"Tercih edilen tamir tesisi kullanıcıya döndürülmelidir.",1,1,1,1,1,1,1,1,1
"Tercih edilen tamir tesisi belirlenemiyorsa sistem, yarıçap içindeki tamir tesislerinin bir listesini döndürmelidir.",1,1,1,1,1,1,1,1,1
"Tahminci (estimator), hasarlı araç parça bilgilerini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır.",1,1,1,1,1,1,1,1,1
"Tahminci, tercih edilen parça tedarikçileri listesini kullanarak mevcut geri dönüştürülmüş parçaları aramalıdır.",1,1,1,1,1,1,1,1,1
"Sistem, sağlanan araç parçaları ve tedarikçiler için mevcut geri dönüştürülmüş parçaları aramalıdır.",1,1,1,1,1,1,1,1,1
"Tercih edilen parça tedarikçileri için parça bulunamazsa tahminci, posta kodu ve 30 millik yarıçap ile arama yapmalıdır.",1,1,1,1,1,1,1,1,1
"Sistem, aramadan döndürülen mevcut geri dönüştürülmüş parçaları ve tedarikçileri saklamalıdır.",1,1,1,1,1,1,1,1,1
"Mevcut geri dönüştürülmüş parçaların bilgileri ve bunların tedarikçileri kullanıcıya döndürülmelidir.",1,1,1,1,1,1,1,1,1
"Tahminci, seçilen geri dönüştürülmüş parçaları çarpışma tahminine uygulamalıdır.",1,1,1,1,1,1,1,1,1
"Hiçbir mevcut parça döndürülmezse tahminci geri dönüştürülmüş parçaları çarpışma tahminine uygulamamalıdır.",1,1,1,1,1,1,1,1,1
"Ayarlayıcı, çarpışma tahminini gözden geçirmelidir.",1,1,1,1,1,1,1,1,1
"Ayarlayıcı, çarpışma tahmininin geri dönüştürülmüş parça denetimini talep etmelidir.",1,1,1,1,1,1,1,1,1
"Tahminciye sağlanan geri dönüştürülmüş parça arama sonuçları sistem tarafından alınmalıdır.",1,1,1,1,1,1,1,0,1
"Sistem, mevcut geri dönüştürülmüş parçalar ve çarpışma tahmini baz alınarak bir denetim raporu oluşturmalıdır.",1,1,1,1,1,1,1,1,1
"Denetim raporu, tahminde kullanılan geri dönüştürülmüş parça toplamını içermelidir.",1,1,1,1,1,1,1,1,1
"Denetim raporu, orijinal arama sonuçlarından dönen mevcut geri dönüştürülmüş parça sayısını içermelidir.",1,1,1,1,1,1,1,1,1
"Denetim raporu, tahminde kullanılan mevcut geri dönüştürülmüş parçaların yüzdesini içermelidir.",1,1,1,1,1,1,1,0,1
"Denetim raporu, bireysel satır öğelerinin toplamından oluşan denetimin toplam puanını içermelidir.",1,1,1,1,1,1,1,0,0
"Denetim raporu kullanıcıya görüntülenmelidir.",1,1,1,1,1,1,1,1,1
"Denetim raporu daha sonraki zamanlarda diğer ayarlayıcıların erişimine açık olmalıdır.",1,1,1,1,1,1,1,0,0
"Kullanıcı, tercih edilen tamir tesisi puanlarını görüntülemeyi seçmelidir.",1,1,1,1,1,1,1,1,1
"Güncel tamir tesisi puanları kullanıcıya gösterilmelidir.",1,1,1,1,1,1,1,1,1
"Sistemde henüz puan tanımlanmamışsa sistem boş bir puan seti gösterecektir.",1,1,1,1,1,1,1,1,1
"Kullanıcı, denetim raporuna dayanarak yeni puanlar girmelidir.",1,1,1,1,1,1,1,1,1
"Puanlamalar 1-10 ölçeğinde olmalıdır.",1,1,1,1,1,1,1,1,1
"Puanlamalar, geri dönüştürülmüş parçaların denenmiş kullanımı ve fiili kullanımı için kategorileri içermelidir.",1,1,1,1,1,1,1,0,1
"Kullanıcı, tercih edilen tamir tesisi puanlarını kaydetmeyi seçmelidir.",1,1,1,1,1,1,1,1,1
"Tercih edilen tamir tesisi puanları sistem tarafından kaydedilmelidir.",1,1,1,1,1,1,1,1,1
"Ürün, piyasadaki çoğu veritabanı yönetim sistemi (DBMS) ile çalışabilmelidir; DBMS ürünle aynı makinede olabileceği gibi aynı bilgisayar ağındaki farklı bir makinede de yer alabilir.",1,0,1,1,1,1,1,0,0
"Ürün, Java çalışma zamanı kurulabilen herhangi bir işletim sisteminde sunucu yazılımlarıyla birlikte çalışacaktır.",1,1,1,1,1,1,1,0,1
"Ürün, bir veritabanı yönetim sistemi (DBMS) ile birlikte çalışmayı gerektirecektir. DBMS, ürünle aynı makinede ya da aynı bilgisayar ağında ayrı bir makinede bulunabilir.",1,1,1,1,1,1,1,1,1
"Ürün, web/uygulama sunucusu teknolojisini kullanmalıdır. Açık kaynak örnekleri: Apache, Tomcat ve JBoss.",1,1,1,1,1,1,1,1,1
"Oracle, DB2, MySQL veya HSQL gibi bir veritabanı yönetim sistemi ürünle entegre edilmelidir.",1,1,1,1,1,1,1,1,1
"Ürünün görünüm ve hissi (look and feel), müşterinin organizasyonuna ait logo, marka ve kimlik gibi unsurları içerebilecek şekilde yapılandırılabilmelidir.",1,0,1,1,1,1,1,0,0
"Ürünün görünümü muhafazakâr ve profesyonel olmalıdır.",1,0,1,1,1,1,1,0,0
"Ürün, kullanıcıların kullanmak istemesini sağlamalıdır. Anket edilen kullanıcıların %80’i, lansmandan sonraki ilk 2 haftadan sonra ürünü düzenli olarak kullandıklarını bildirmelidir.",1,1,1,1,1,1,1,1,1
"Ürün kolay kullanılmalıdır. Kullanıcıların %90’ı ürünü kullanmaya başladıktan sonraki 5 dakika içinde başarılı biçimde toplantı odası ayırtabilmelidir.",1,1,1,1,1,1,1,1,1
"Ürün, gerekli olduğunda kullanıcılara geri bildirim vermelidir. Anket edilen kullanıcıların %80’i ürünün eylemlerini doğru şekilde onayladığını bildirmelidir.",1,1,1,1,1,1,1,0,1
"Ürün, kullanıcıya hedef pazar ülkelerinden birinin dilini seçme olanağı sunmalıdır.",1,0,1,1,1,1,1,0,0
"Ürün, başlangıç sayfası ve görünüm tercihlerinin özelleştirilmesine izin vermelidir.",1,1,1,1,1,1,1,1,1
"Bir çalışan ürünü birkaç dakika içinde başarılı biçimde kullanabilir olacaktır. Üründe 15 dakikadan daha kısa bir süre içinde gayri resmi gezinme sonrası kullanıcılar toplantı kurma ve toplantı odası ayırtmayı başarıyla gerçekleştirebilmelidir.",1,1,1,1,1,1,0,0,1
"Ürün, çoğu web kullanıcısına tanıdık gelen standart bir gezinme menüsü kullanmalıdır.",1,0,1,1,1,1,1,0,0
"Ürün, mevcut toplantı odalarının sezgisel (intuitive) şekilde aranmasına imkan vermelidir.",1,1,1,1,1,1,1,0,0
"Ürün, Amerika Engelliler Yasası (Americans with Disabilities Act - ADA) ile uyumlu olmalıdır.",1,1,1,1,1,1,1,0,0
"Yanıtlar kullanıcının düşünce akışını kesmeyecek kadar hızlı olmalıdır. Görevlerin %90’ı 5 saniye içinde, %98’i ise 8 saniye içinde tamamlanmalıdır.",1,1,1,1,1,1,1,1,1
"Sunucu arızaları dışında yazılım ürünü %99.99 çalışma süresi (uptime) sağlamalıdır.",1,1,1,1,1,1,1,0,1
"Ürün, karşılaşılan sorunların bir istisna kaydını oluşturacak ve analiz ve çözüm için şirketimize iletecektir.",1,1,1,1,1,1,1,1,1
"Ürün, aynı anda 1.000 isteği işleyebilecek kapasitede olmalıdır. Bu sayı, Sürüm 2’de 2.000’e çıkarılacaktır. Eşzamanlılık kapasitesi, sabah erken ve öğleden sonra geç saatler gibi yoğun zamanları karşılayabilmelidir.",1,1,1,1,1,1,0,0,1
"Ürün, piyasaya sürülmesinden iki yıl içinde saatte 10.000 işlemi gerçekleştirebilecektir. Bu sayı Sürüm 2’de 20.000’e çıkarılacaktır.",1,1,1,1,1,1,0,0,1
"Ürün, her müşteri kurulumunda en az 5 yıl çalışacak şekilde tasarlanmalıdır.",1,1,1,1,1,1,1,1,1
"Ürün, ofis ortamlarında kullanılacaktır.",1,1,1,1,1,1,1,1,1
"Ürün, herhangi bir HTML tarayıcısıyla etkileşim kurabilmelidir. Ürün, kullanıcı ile ürün arasında verileri sorunsuz iletecek ve test edilen tüm HTML tarayıcıların %80’inde HTML’i doğru şekilde gösterecektir (minimum 8 tarayıcı test edilecektir).",1,1,1,1,1,1,0,0,1
"Ürün, çeşitli veri tabanı yönetim sistemleriyle etkileşim kurabilmelidir. Ürün, tüm işlemlerin %100’ünde veri tabanı yönetim sistemiyle başarılı şekilde iletişim kuracaktır.",1,1,1,1,1,1,1,0,1
"Ürün, karşılaşılan sorunları içeren bir istisna kaydı oluşturacak ve analiz ve çözüm için şirketimize iletilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, aynı anda 1.000 isteği işleyebilecektir. Bu sayı, Sürüm 2’de 2.000’e yükselecektir. Ürün, yoğun zamanlarda (sabah erken ve öğleden sonra geç saatler) bu kapasiteyi karşılayabilmelidir.",1,1,1,1,1,1,1,0,1
"Ürün, piyasaya sürülmesinden iki yıl içinde saatte 10.000 işlemi gerçekleştirebilecektir. Bu sayı, Sürüm 2’de 20.000’e yükselecektir.",1,1,1,1,1,1,1,0,1
"Ürün, yalnızca şirket çalışanlarının veya şirket tarafından onaylanmış kullanıcı kimliklerine sahip dış kullanıcıların ürün erişimine sahip olmasını sağlayacaktır. Tüm girişlerin %100'ü yalnızca şirket çalışanları veya onaylı kullanıcı kimlikleri ile gerçekleşecektir.",1,1,1,1,1,1,1,1,1
"Sadece yöneticiler kullanıcıya göre rezervasyon sorgusu yapabilir. Tüm rezervasyon sorgularının %100'ü yalnızca yönetici girişlerinden yapılacaktır.",1,1,1,1,1,1,1,1,1
"Ürün, veritabanındaki verilerin kullanıcı tarafından girilen bilgilerle eşleşmesini sağlayacaktır. Sistem üzerindeki her konferans odası rezervasyonu, kullanıcı tarafından girilen aynı bilgileri içerecektir.",1,1,1,1,1,1,1,1,1
"Ürün, kötü amaçlı veri girişini engelleyecektir. Ürün ve/veya bağlantılı donanım/yazılım sistemlerinin verileri, her kötü amaçlı veri girişi sırasında %100 bozulmadan kalacaktır.",1,1,1,1,1,1,1,1,1
"Ürün ve/veya bağlı veritabanları/dosyalar, kötü amaçlı veri girişine rağmen çalışmaya devam edecektir. Kötü amaçlı veri girişleri sırasında ürün ve/veya bağlı veritabanları/dosyalar %100 çökmeden çalışacaktır.",1,1,1,1,1,1,1,1,1
"Ürünün dili, hedef pazarlardaki tüm ülkeleri kapsayacaktır. Her hedef pazar ülkesinden katılımcıların %90'ı, ürünün dilinin kabul edilebilir olduğunu belirleyecektir.",1,1,1,1,1,1,1,1,1
"Ürün, J2SE/J2EE programlama dili kütüphaneleri ile geliştirilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, toplantı kayıtlarını tutacaktır.",1,1,1,1,1,1,1,1,1
"Ürün, çalışanlara toplantı davetlerini bildirecektir.",1,1,1,1,1,1,1,1,1
"Ürün, çalışanlara toplantı hatırlatmaları gönderebilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, her toplantıyı oluşturan organizatörün iletişim bilgilerini toplantıya atayacaktır.",1,1,1,1,1,1,1,1,1
"Ürün, toplantı onaylarını kaydedecektir.",1,1,1,1,1,1,1,1,1
"Ürün, yeni konferans odalarını depolayabilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, mevcut konferans odalarını güncelleyebilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, konferans odalarını silebilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, yeni oda ekipmanlarını depolayabilecektir.",1,1,1,1,1,1,1,1,1
"Ürün, mevcut oda ekipmanlarını güncelleyebilecektir.",1,1,1,1,1,1,1,1,1
"Son 30 gün için Envanter Miktarı Düzeltme işleminin tamamlanması 30 dakikadan fazla sürmeyecektir.",1,1,1,1,1,1,1,1,1
"Sistem aynı anda en az 6 kullanıcının çalışmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"Sistem mevcut bilgisayar ekipmanlarını kullanacaktır.",1,1,1,1,1,1,1,1,0
"Sistem iş verilerini otomatik olarak yedekleyip talep üzerine geri yükleyebilecektir.",1,1,1,1,1,1,1,1,1
"Sistem tutarlı güvenliği sağlayacaktır. Kullanıcı şifreleri ve/veya izinlerde yapılan değişiklikler sistemin tüm bölümlerinde geçerli olacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, tüm ana alt sistemler için erişim haklarını detaylı şekilde kontrol edebilecektir. Tüm alt sistemler için erişim hakları bağımsız olarak atanabilir olmalıdır.",1,1,1,1,1,1,1,1,1
"Sistem, tüm geçerli muhasebe standartlarına uyacaktır. Sistem nihai sürümü, bağımsız bir denetçi tarafından yapılan denetimi başarıyla geçmelidir.",1,1,1,1,1,1,1,1,1
"Sistem, telif ücreti gerektiren ek üçüncü taraf lisanslarına ihtiyaç duymayacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, Envanter Miktarı Düzeltme belgelerinin talep üzerine oluşturulmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"Sistem, belirli bir zamandan itibaren tüm Envanter Miktarı Düzeltme belgelerinin talep üzerine oluşturulmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"IQA alt sistemi mevcut envanter durumunu dikkate alacak ve ikame edilebilir malzemelerin envanterini buna göre ayarlayacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, ürün formüllerinin girilmesine, depolanmasına ve değiştirilmesine izin verecektir.",1,1,1,1,1,1,1,1,1
"Ürün formülleri, kendi formüllerine sahip yarı ürünlerin kullanılmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"Ürün formülü bileşenleri, ikame edilebilir malzemelerin tanımlanmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"Formül ikame edilebilir bileşenler, kalıcı sırayla saklanacaktır.",1,1,1,1,1,1,1,1,1
"Ürün, POS terminalleri tarafından kullanılan ürün menülerinin girilmesine, depolanmasına ve değiştirilmesine izin verecektir.",1,1,1,1,1,1,0,0,1
"PME alt sistemi, muhasebe sisteminde saklanan ürün listesine dayalı olarak ürün menüleri oluşturulmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"PME alt sistemi, menüler içinde alt menülerin ve alt menüler içinde ürünlerin yönetilen ve kalıcı sırayla saklanmasına izin verecektir.",1,1,1,1,1,1,0,0,1
"Formül ikame edilebilir bileşenler, PFE alt sistemi tarafından otomatik olarak girilecektir.",1,1,1,1,1,1,1,1,1
"Formül ikame edilebilir bileşenler, kalıcı sırayla saklanacaktır.",1,1,1,1,1,1,1,1,1
"Ürün, POS terminalleri tarafından kullanılan ürün menülerinin girilmesine, depolanmasına ve değiştirilmesine izin verecektir.",1,1,1,1,1,1,0,0,1
"PME alt sistemi, muhasebe sisteminde saklanan ürün listesine dayalı olarak ürün menüleri oluşturulmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"PME alt sistemi, menüler içinde alt menülerin ve alt menüler içinde ürünlerin yönetilen ve kalıcı sırayla saklanmasına izin verecektir.",1,1,1,1,1,1,0,0,1
"PME alt sistemi, bir ürünün birden fazla alt menüde bulunmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"RMS sistemi, Windows XP görünüme sahip olacak ve GUI özelliklerini kullanarak kullanımını sezgisel hale getirecektir.",1,1,1,1,1,1,1,1,1
"Sistem, ürün günlük satış verilerine ve ürün formüllerine dayanarak Envanter Miktarı Ayarlama belgesi oluşturacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, ürün günlük satış verileri ve ürün formüllerine dayalı olarak Envanter Miktarı Düzeltme belgeleri üretecektir.",1,1,1,1,1,1,1,1,1
"Sistem, günlük Ürün Satış verileri mevcut olduğunda Envanter Miktarı Düzeltme belgelerini otomatik olarak oluşturacaktır.",1,1,1,1,1,1,1,1,1
"Yönetici, Yönetim bölümünden ön ödemeli kartı 5 saniye içinde aktive edebilecektir.",1,1,1,1,1,1,1,1,1
"Müşteri, ön ödemeli kartlarının durumunu PIN numarası girerek 5 saniye içinde kontrol edebilecektir.",1,1,1,1,1,1,1,1,1
"Sistem, müşterilerin web sitesinde 'kullandıkça öde' kullanıcı olarak 5 dakika içinde kayıt olmalarını sağlayacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, müşterilerin web sitesinde 'sınırsız film abonesi' kullanıcı olarak 10 dakika içinde kayıt olmalarını sağlayacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, mevcut müşterilerin e-posta adresi ve şifre ile web sitesine 5 saniye içinde giriş yapmasına izin verecektir.",1,1,1,1,1,1,1,1,1
"Sistem, müşterilerin hesaplarını iptal etmelerine izin verecek, işlem 2 dakikadan uzun sürmeyecek, veritabanı hesabı pasif olarak işaretleyecek ve kullanıcı web sitesine giriş yapamayacaktır.",1,1,1,1,1,1,1,1,1
"Sistem, yöneticinin müşteri hesabını 1 dakika içinde devre dışı bırakmasına izin verecek, müşteri artık web sitesine erişemeyecektir.",1,1,1,1,1,1,1,1,1
"Yönetici, web sitesinde filmleri 5 dakika içinde ekleyip/silebilecektir. Girilen film bilgileri veritabanında saklanacak ve siteye yansıyacaktır.",1,1,1,1,1,1,1,1,1
"Yönetici, web sitesinde kategorileri 5 dakika içinde ekleyip/silebilecektir.",1,1,1,1,1,1,1,1,1
"Izogn yöneticisi, satış ve kullanım istatistiklerine 2 dakika içinde erişebilecektir.",1,1,1,1,1,1,1,1,1
"Yönetici, benzersiz ön ödemeli PINler oluşturabilecek ve Excel dosyasıyla kaydedebilecektir.",1,1,1,1,1,1,1,1,1
"Web sitesi tüm kitleler için çekici görünmelidir; eğlenceli ve renkler parlak olmalıdır.",1,1,1,1,1,1,0,0,0
"Web sitesi modern, temiz ve sade bir tasarıma sahip olmalıdır.",1,1,1,1,1,1,0,0,0
"Ürün, Internet üzerinde acemi kullanıcıların %90'ı tarafından kullanılabilir olmalıdır.",1,1,1,1,1,1,1,1,1
